Age,total_rb_seasons,top36_rb_seasons,top36_total_slots,top36_rate,top36_rate_pct,top24_rb_seasons,top24_total_slots,top24_rate,top24_rate_pct,top20_rb_seasons,top20_total_slots,top20_rate,top20_rate_pct,top15_rb_seasons,top15_total_slots,top15_rate,top15_rate_pct,top12_rb_seasons,top12_total_slots,top12_rate,top12_rate_pct,top6_rb_seasons,top6_total_slots,top6_rate,top6_rate_pct,top5_rb_seasons,top5_total_slots,top5_rate,top5_rate_pct,top3_rb_seasons,top3_total_slots,top3_rate,top3_rate_pct,top1_rb_seasons,top1_total_slots,top1_rate,top1_rate_pct
21,4,4,108,0.037037037037037035,3.7,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,1,18,0.05555555555555555,5.56,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
22,13,5,108,0.046296296296296294,4.63,3,72,0.041666666666666664,4.17,3,60,0.05,5.0,3,45,0.06666666666666667,6.67,2,36,0.05555555555555555,5.56,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,2,9,0.2222222222222222,22.22,2,3,0.6666666666666666,66.67
23,34,9,108,0.08333333333333333,8.33,5,72,0.06944444444444445,6.94,5,60,0.08333333333333333,8.33,5,45,0.1111111111111111,11.11,3,36,0.08333333333333333,8.33,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
24,54,13,108,0.12037037037037036,12.04,10,72,0.1388888888888889,13.89,9,60,0.15,15.0,6,45,0.13333333333333333,13.33,5,36,0.1388888888888889,13.89,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
25,62,12,108,0.1111111111111111,11.11,8,72,0.1111111111111111,11.11,4,60,0.06666666666666667,6.67,3,45,0.06666666666666667,6.67,2,36,0.05555555555555555,5.56,2,18,0.1111111111111111,11.11,2,15,0.13333333333333333,13.33,2,9,0.2222222222222222,22.22,0,3,0.0,0.0
26,57,12,108,0.1111111111111111,11.11,8,72,0.1111111111111111,11.11,6,60,0.1,10.0,4,45,0.08888888888888889,8.89,4,36,0.1111111111111111,11.11,3,18,0.16666666666666666,16.67,3,15,0.2,20.0,1,9,0.1111111111111111,11.11,1,3,0.3333333333333333,33.33
27,37,7,108,0.06481481481481481,6.48,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,1,18,0.05555555555555555,5.56,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
28,31,10,108,0.09259259259259259,9.26,8,72,0.1111111111111111,11.11,7,60,0.11666666666666667,11.67,3,45,0.06666666666666667,6.67,1,36,0.027777777777777776,2.78,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
29,29,13,108,0.12037037037037036,12.04,9,72,0.125,12.5,8,60,0.13333333333333333,13.33,6,45,0.13333333333333333,13.33,5,36,0.1388888888888889,13.89,3,18,0.16666666666666666,16.67,2,15,0.13333333333333333,13.33,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
30,24,8,108,0.07407407407407407,7.41,6,72,0.08333333333333333,8.33,4,60,0.06666666666666667,6.67,3,45,0.06666666666666667,6.67,3,36,0.08333333333333333,8.33,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
31,20,4,108,0.037037037037037035,3.7,3,72,0.041666666666666664,4.17,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
32,10,3,108,0.027777777777777776,2.78,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,1,45,0.022222222222222223,2.22,0,36,0.0,0.0,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
33,4,2,108,0.018518518518518517,1.85,1,72,0.013888888888888888,1.39,1,60,0.016666666666666666,1.67,1,45,0.022222222222222223,2.22,1,36,0.027777777777777776,2.78,0,18,0.0,0.0,0,15,0.0,0.0,0,9,0.0,0.0,0,3,0.0,0.0
34,3,3,108,0.027777777777777776,2.78,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,2,45,0.044444444444444446,4.44,2,36,0.05555555555555555,5.56,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
35,3,2,108,0.018518518518518517,1.85,2,72,0.027777777777777776,2.78,2,60,0.03333333333333333,3.33,1,45,0.022222222222222223,2.22,1,36,0.027777777777777776,2.78,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,0,9,0.0,0.0,0,3,0.0,0.0
36,1,1,108,0.009259259259259259,0.93,1,72,0.013888888888888888,1.39,1,60,0.016666666666666666,1.67,1,45,0.022222222222222223,2.22,1,36,0.027777777777777776,2.78,1,18,0.05555555555555555,5.56,1,15,0.06666666666666667,6.67,1,9,0.1111111111111111,11.11,0,3,0.0,0.0
